date,sp500,sp500ret
20020102,1154.67,0.00574
20020103,1165.27,0.00918
20020104,1172.51,0.006213
20020107,1164.89,-0.006499
20020108,1160.71,-0.003588
20020109,1155.14,-0.004799
20020110,1156.55,0.001221
20020111,1145.6,-0.009468
20020114,1138.41,-0.006276
20020115,1146.19,0.006834
20020116,1127.57,-0.016245
20020117,1138.88,0.01003
20020118,1127.58,-0.009922
20020122,1119.31,-0.007334
20020123,1128.18,0.007925
20020124,1132.15,0.003519
20020125,1133.28,0.000998
20020128,1133.06,-0.000194
20020129,1100.64,-0.028613
20020130,1113.57,0.011748
20020131,1130.2,0.014934
20020201,1122.2,-0.007078
20020204,1094.44,-0.024737
20020205,1090.02,-0.004039
20020206,1083.51,-0.005972
20020207,1080.17,-0.003083
20020208,1096.22,0.014859
20020211,1111.94,0.01434
20020212,1107.5,-0.003993
20020213,1118.51,0.009941
20020214,1116.48,-0.001815
20020215,1104.18,-0.011017
20020219,1083.34,-0.018874
20020220,1097.98,0.013514
20020221,1080.95,-0.01551
20020222,1089.84,0.008224
20020225,1109.43,0.017975
20020226,1109.38,-0.000045
20020227,1109.89,0.00046
20020228,1106.73,-0.002847
20020301,1131.78,0.022634
20020304,1153.84,0.019491
20020305,1146.14,-0.006673
20020306,1162.77,0.01451
20020307,1157.54,-0.004498
20020308,1164.31,0.005849
20020311,1168.26,0.003393
20020312,1165.58,-0.002294
20020313,1154.09,-0.009858
20020314,1153.04,-0.00091
20020315,1166.16,0.011379
20020318,1165.55,-0.000523
20020319,1170.29,0.004067
20020320,1151.85,-0.015757
20020321,1153.59,0.001511
20020322,1148.7,-0.004239
20020325,1131.87,-0.014651
20020326,1138.49,0.005849
20020327,1144.58,0.005349
20020328,1147.39,0.002455
20020401,1146.54,-0.000741
20020402,1136.76,-0.00853
20020403,1125.4,-0.009993
20020404,1126.34,0.000835
20020405,1122.73,-0.003205
20020408,1125.29,0.00228
20020409,1117.8,-0.006656
20020410,1130.47,0.011335
20020411,1103.69,-0.023689
20020412,1111.01,0.006632
20020415,1102.55,-0.007615
20020416,1128.37,0.023418
20020417,1126.07,-0.002038
20020418,1124.47,-0.001421
20020419,1125.17,0.000623
20020422,1107.83,-0.015411
20020423,1100.96,-0.006201
20020424,1093.14,-0.007103
20020425,1091.48,-0.001519
20020426,1076.32,-0.013889
20020429,1065.45,-0.010099
20020430,1076.92,0.010765
20020501,1086.46,0.008859
20020502,1084.56,-0.001749
20020503,1073.43,-0.010262
20020506,1052.67,-0.01934
20020507,1049.49,-0.003021
20020508,1088.85,0.037504
20020509,1073.01,-0.014547
20020510,1054.99,-0.016794
20020513,1074.56,0.01855
20020514,1097.28,0.021144
20020515,1091.07,-0.005659
20020516,1098.23,0.006562
20020517,1106.59,0.007612
20020520,1091.88,-0.013293
20020521,1079.88,-0.01099
20020522,1086.02,0.005686
20020523,1097.08,0.010184
20020524,1083.82,-0.012087
20020528,1074.55,-0.008553
20020529,1067.66,-0.006412
20020530,1064.66,-0.00281
20020531,1067.14,0.002329
20020603,1040.68,-0.024795
20020604,1040.69,0.00001
20020605,1049.9,0.00885
20020606,1029.15,-0.019764
20020607,1027.53,-0.001574
20020610,1030.74,0.003124
20020611,1013.6,-0.016629
20020612,1020.26,0.006571
20020613,1009.56,-0.010488
20020614,1007.27,-0.002268
