ticker,date,price
002044.SZ,2014-11-14,2.81
002044.SZ,2014-11-17,2.81
002044.SZ,2014-11-18,2.81
002044.SZ,2014-11-19,2.81
002044.SZ,2014-11-20,2.81
002044.SZ,2014-11-21,2.81
002044.SZ,2014-11-24,2.81
002044.SZ,2014-11-25,2.81
002044.SZ,2014-11-26,2.81
002044.SZ,2014-11-27,2.81
002044.SZ,2014-11-28,2.81
002044.SZ,2014-12-01,2.81
002044.SZ,2014-12-02,2.81
002044.SZ,2014-12-03,2.81
002044.SZ,2014-12-04,2.81
002044.SZ,2014-12-05,2.81
002044.SZ,2014-12-08,2.81
002044.SZ,2014-12-09,2.81
002044.SZ,2014-12-10,2.81
002044.SZ,2014-12-11,2.81
002044.SZ,2014-12-12,2.81
002044.SZ,2014-12-15,2.81
002044.SZ,2014-12-16,2.81
002044.SZ,2014-12-17,2.81
002044.SZ,2014-12-18,2.81
002044.SZ,2014-12-19,2.81
002044.SZ,2014-12-22,2.81
002044.SZ,2014-12-23,2.81
002044.SZ,2014-12-24,2.81
002044.SZ,2014-12-25,2.81
002044.SZ,2014-12-26,2.81
002044.SZ,2014-12-29,2.81
002044.SZ,2014-12-30,2.81
002044.SZ,2014-12-31,2.81
002044.SZ,2015-01-01,2.81
002044.SZ,2015-01-02,2.81
002044.SZ,2015-01-05,2.81
002044.SZ,2015-01-06,2.81
002044.SZ,2015-01-07,2.81
002044.SZ,2015-01-08,2.81
002044.SZ,2015-01-09,2.81
002044.SZ,2015-01-12,2.81
002044.SZ,2015-01-13,2.81
002044.SZ,2015-01-14,2.81
002044.SZ,2015-01-15,2.81
002044.SZ,2015-01-16,2.81
002044.SZ,2015-01-19,2.81
002044.SZ,2015-01-20,2.81
002044.SZ,2015-01-21,2.81
002044.SZ,2015-01-22,2.81
002044.SZ,2015-01-23,2.81
002044.SZ,2015-01-26,2.81
002044.SZ,2015-01-27,2.81
002044.SZ,2015-01-28,2.81
002044.SZ,2015-01-29,2.81
002044.SZ,2015-01-30,2.81
002044.SZ,2015-02-02,2.81
002044.SZ,2015-02-03,2.81
002044.SZ,2015-02-04,2.81
